time	1-tT	1-T
2021-12-29T11:19:50.213Z	1200	225
2021-12-29T11:20:10.215Z	1200	230
2021-12-29T11:20:30.229Z	1200	234
2021-12-29T11:20:50.240Z	1200	240
2021-12-29T11:21:10.252Z	1200	244
2021-12-29T11:21:30.266Z	1200	250
2021-12-29T11:21:50.270Z	1200	254
2021-12-29T11:22:10.272Z	1200	259
2021-12-29T11:22:30.284Z	1200	263
2021-12-29T11:22:50.297Z	1200	267
2021-12-29T11:23:10.310Z	1200	272
2021-12-29T11:23:30.314Z	1200	276
2021-12-29T11:23:50.329Z	1200	280
2021-12-29T11:24:10.343Z	1200	284
2021-12-29T11:24:30.344Z	1200	288
2021-12-29T11:24:50.359Z	1200	292
2021-12-29T11:25:10.374Z	1200	295
2021-12-29T11:25:30.386Z	1200	299
2021-12-29T11:25:50.387Z	1200	302
2021-12-29T11:26:10.402Z	1200	306
2021-12-29T11:26:30.417Z	1200	309
2021-12-29T11:26:50.425Z	1200	312
2021-12-29T11:27:10.428Z	1200	315
2021-12-29T11:27:30.430Z	1200	319
2021-12-29T11:27:50.432Z	1200	322
2021-12-29T11:28:10.446Z	1200	325
2021-12-29T11:28:30.461Z	1200	328
2021-12-29T11:28:50.473Z	1200	330
2021-12-29T11:29:10.486Z	1200	333
2021-12-29T11:29:30.489Z	1200	336
2021-12-29T11:29:50.500Z	1200	339
2021-12-29T11:30:10.503Z	1200	342
2021-12-29T11:30:30.504Z	1200	345
2021-12-29T11:30:50.505Z	1200	347
2021-12-29T11:31:10.519Z	1200	350
2021-12-29T11:31:30.523Z	1200	353
2021-12-29T11:31:50.537Z	1200	355
2021-12-29T11:32:10.543Z	1200	359
2021-12-29T11:32:30.548Z	1200	361
2021-12-29T11:32:50.556Z	1200	364
2021-12-29T11:33:10.570Z	1200	366
2021-12-29T11:33:30.586Z	1200	369
2021-12-29T11:33:50.599Z	1200	371
2021-12-29T11:34:10.599Z	1200	372
2021-12-29T11:34:30.612Z	1200	372
2021-12-29T11:34:50.613Z	1200	372
2021-12-29T11:35:10.628Z	1200	371
2021-12-29T11:35:30.631Z	1200	370
2021-12-29T11:35:50.643Z	1200	369
2021-12-29T11:36:10.644Z	1200	367
2021-12-29T11:36:30.659Z	1200	365
2021-12-29T11:36:50.673Z	1200	363
2021-12-29T11:37:10.676Z	1200	361
2021-12-29T11:37:30.677Z	1200	359
2021-12-29T11:37:50.690Z	1200	358
2021-12-29T11:38:10.690Z	1200	356
2021-12-29T11:38:30.698Z	1200	354
2021-12-29T11:38:50.706Z	1200	352
2021-12-29T11:39:10.708Z	1200	350
2021-12-29T11:39:30.713Z	1200	348
2021-12-29T11:39:50.714Z	1200	346
2021-12-29T11:40:10.724Z	1200	345
2021-12-29T11:40:30.730Z	1200	343
2021-12-29T11:40:50.743Z	1200	342
2021-12-29T11:41:10.758Z	1200	342
2021-12-29T11:41:30.768Z	1200	342
2021-12-29T11:41:50.775Z	1200	342
2021-12-29T11:42:10.786Z	1200	344
2021-12-29T11:42:30.798Z	1200	345
2021-12-29T11:42:50.803Z	1200	347
2021-12-29T11:43:10.809Z	1200	348
2021-12-29T11:43:30.814Z	1200	350
2021-12-29T11:43:50.820Z	1200	351
2021-12-29T11:44:10.823Z	1200	352
2021-12-29T11:44:30.823Z	1200	353
