time	1-tT	1-T
2021-12-30T07:08:10.175Z	1200	414
2021-12-30T07:08:30.189Z	1200	416
2021-12-30T07:08:50.201Z	1200	419
2021-12-30T07:09:10.210Z	1200	422
2021-12-30T07:09:30.210Z	1200	424
2021-12-30T07:09:50.221Z	1200	427
2021-12-30T07:10:10.225Z	1200	429
2021-12-30T07:10:30.238Z	1200	432
2021-12-30T07:10:50.238Z	1200	433
2021-12-30T07:11:10.250Z	1200	434
2021-12-30T07:11:30.255Z	1200	433
2021-12-30T07:11:50.270Z	1200	432
2021-12-30T07:12:10.278Z	1200	431
2021-12-30T07:12:30.283Z	1200	430
2021-12-30T07:12:50.288Z	1200	428
2021-12-30T07:13:10.290Z	1200	427
2021-12-30T07:13:30.297Z	1200	426
2021-12-30T07:13:50.304Z	1200	423
2021-12-30T07:14:10.310Z	1200	421
2021-12-30T07:14:30.321Z	1200	419
2021-12-30T07:14:50.335Z	1200	418
2021-12-30T07:15:10.344Z	1200	417
2021-12-30T07:15:30.350Z	1200	415
2021-12-30T07:15:50.364Z	1200	414
2021-12-30T07:16:50.365Z	1200	409
2021-12-30T07:17:10.368Z	1200	407
2021-12-30T07:17:30.368Z	1200	406
2021-12-30T07:17:50.377Z	1200	404
2021-12-30T07:18:10.382Z	1200	403
2021-12-30T07:18:30.383Z	1200	401
2021-12-30T07:18:50.393Z	1200	400
2021-12-30T07:19:10.406Z	1200	399
2021-12-30T07:19:30.413Z	1200	397
2021-12-30T07:19:50.413Z	1200	396
2021-12-30T07:20:10.420Z	1200	395
2021-12-30T07:20:30.434Z	1200	393
2021-12-30T07:20:50.448Z	1200	392
2021-12-30T07:21:10.457Z	1200	391
2021-12-30T07:21:30.466Z	1200	390
2021-12-30T07:21:50.477Z	1200	389
2021-12-30T07:22:10.486Z	1200	387
2021-12-30T07:22:30.501Z	1200	387
2021-12-30T07:22:50.504Z	1200	385
2021-12-30T07:23:10.518Z	1200	384
2021-12-30T07:23:30.522Z	1200	383
2021-12-30T07:23:50.529Z	1200	382
2021-12-30T07:24:10.528Z	1200	381
2021-12-30T07:24:30.537Z	1200	380
2021-12-30T07:24:50.542Z	1200	379
2021-12-30T07:25:10.542Z	1200	378
2021-12-30T07:25:30.543Z	1200	377
2021-12-30T07:25:50.549Z	1200	376
2021-12-30T07:26:10.550Z	1200	375
2021-12-30T07:26:30.560Z	1200	374
2021-12-30T07:26:50.560Z	1200	373
2021-12-30T07:27:10.567Z	1200	372
2021-12-30T07:27:30.566Z	1200	371
2021-12-30T07:27:50.566Z	1200	370
2021-12-30T07:28:10.571Z	1200	369
2021-12-30T07:28:30.572Z	1200	368
2021-12-30T07:28:50.574Z	1200	367
2021-12-30T07:29:10.574Z	1200	366
2021-12-30T07:29:30.574Z	1200	365
2021-12-30T07:29:50.576Z	1200	318
2021-12-30T07:30:10.576Z	1200	325
2021-12-30T07:30:30.585Z	1200	330
2021-12-30T07:30:50.590Z	1200	332
2021-12-30T07:31:10.591Z	1200	335
2021-12-30T07:31:30.602Z	1200	339
2021-12-30T07:31:50.603Z	1200	343
2021-12-30T07:32:10.612Z	1200	347
2021-12-30T07:32:30.618Z	1200	351
2021-12-30T07:32:50.628Z	1200	356
2021-12-30T07:33:10.629Z	1200	362
2021-12-30T07:33:30.630Z	1200	366
2021-12-30T07:33:50.640Z	1200	371
2021-12-30T07:34:10.641Z	1200	375
2021-12-30T07:34:30.655Z	1200	380
2021-12-30T07:34:50.657Z	1200	384
2021-12-30T07:35:10.665Z	1200	389
2021-12-30T07:35:30.671Z	1200	393
2021-12-30T07:35:50.676Z	1200	397
2021-12-30T07:36:10.683Z	1200	401
2021-12-30T07:36:30.699Z	1200	405
2021-12-30T07:36:50.711Z	1200	408
2021-12-30T07:37:10.711Z	1200	409
2021-12-30T07:37:30.719Z	1200	409
2021-12-30T07:37:50.732Z	1200	408
2021-12-30T07:38:10.748Z	1200	406
2021-12-30T07:38:30.758Z	1200	405
2021-12-30T07:38:50.760Z	1200	403
2021-12-30T07:39:10.767Z	1200	402
2021-12-30T07:39:30.778Z	1200	399
2021-12-30T07:39:50.790Z	1200	397
2021-12-30T07:40:10.803Z	1200	394
2021-12-30T07:40:30.813Z	1200	392
2021-12-30T07:40:50.823Z	1200	390
2021-12-30T07:41:10.827Z	1200	388
2021-12-30T07:41:30.835Z	1200	386
2021-12-30T07:41:50.840Z	1200	388
2021-12-30T07:42:10.853Z	1200	388
2021-12-30T07:42:30.865Z	1200	391
2021-12-30T07:42:50.875Z	1200	392
2021-12-30T07:43:10.882Z	1200	396
2021-12-30T07:43:30.894Z	1200	398
2021-12-30T07:43:50.902Z	1200	398
2021-12-30T07:44:10.902Z	1200	397
2021-12-30T07:44:30.912Z	1200	398
2021-12-30T07:44:50.922Z	1200	397
2021-12-30T07:45:10.923Z	1200	396
2021-12-30T07:45:30.925Z	1200	395
2021-12-30T07:45:50.935Z	1200	389
2021-12-30T07:46:10.940Z	1200	326
2021-12-30T07:46:30.942Z	1200	299
2021-12-30T07:46:50.950Z	1200	296
2021-12-30T07:47:10.956Z	1200	296
2021-12-30T07:47:30.971Z	1200	298
2021-12-30T07:47:50.972Z	1200	301
2021-12-30T07:48:10.975Z	1200	304
2021-12-30T07:48:30.983Z	1200	306
2021-12-30T07:48:50.984Z	1200	310
2021-12-30T07:49:10.994Z	1200	313
2021-12-30T07:49:31.004Z	1200	317
2021-12-30T07:49:51.010Z	1200	321
2021-12-30T07:50:11.015Z	1200	325
2021-12-30T07:50:31.021Z	1200	329
2021-12-30T07:50:51.033Z	1200	333
2021-12-30T07:51:11.043Z	1200	337
2021-12-30T07:51:31.054Z	1200	341
2021-12-30T07:51:51.057Z	1200	345
