time	1-tT	1-T
2021-11-22T11:09:28.558Z	610	609
2021-11-22T11:10:26.566Z	610	609
2021-11-22T11:10:46.575Z	664	663
2021-11-22T11:11:06.588Z	715	714
2021-11-22T11:11:26.590Z	764	763
2021-11-22T11:11:46.604Z	809	808
2021-11-22T11:12:06.614Z	850	851
2021-11-22T11:12:26.614Z	888	888
2021-11-22T11:12:46.616Z	920	921
2021-11-22T11:13:06.628Z	948	948
2021-11-22T11:13:26.632Z	970	970
2021-11-22T11:13:46.638Z	986	986
2021-11-22T11:14:06.637Z	996	996
2021-11-22T11:14:26.649Z	1000	1000
2021-11-22T11:14:46.658Z	998	998
2021-11-22T11:15:06.668Z	989	989
2021-11-22T11:15:26.670Z	975	975
2021-11-22T11:15:46.678Z	955	955
2021-11-22T11:16:06.683Z	928	929
2021-11-22T11:16:26.695Z	897	898
2021-11-22T11:16:46.701Z	861	862
2021-11-22T11:17:06.713Z	821	822
2021-11-22T11:17:26.713Z	777	776
2021-11-22T11:17:46.715Z	729	728
2021-11-22T11:18:06.717Z	678	678
2021-11-22T11:28:01.299Z	1000	13
2021-11-22T11:28:21.313Z	1000	15
2021-11-22T11:28:41.326Z	1000	18
2021-11-22T11:29:01.332Z	1000	22
2021-11-22T11:29:21.338Z	1000	27
2021-11-22T11:30:07.021Z	1000	42
2021-11-22T11:30:27.034Z	1000	49
2021-11-22T11:30:47.045Z	1000	57
2021-11-22T11:31:07.045Z	1000	67
2021-11-22T11:31:27.047Z	1000	77
2021-11-22T11:31:47.061Z	1000	89
2021-11-22T11:32:07.073Z	1000	101
2021-11-22T11:32:27.072Z	1000	115
2021-11-22T11:32:47.077Z	1000	128
2021-11-22T11:33:07.078Z	1000	141
2021-11-22T11:33:27.087Z	1000	158
2021-11-22T11:33:47.098Z	1000	173
2021-11-22T11:34:07.100Z	1000	191
2021-11-22T11:34:27.105Z	1000	206
2021-11-22T11:34:47.109Z	1000	224
2021-11-22T11:35:07.124Z	1000	239
2021-11-22T11:35:27.135Z	1000	255
2021-11-22T11:35:47.147Z	1000	273
2021-11-22T11:36:07.158Z	1000	290
2021-11-22T11:36:27.163Z	1000	307
2021-11-22T11:36:47.168Z	1000	323
2021-11-22T11:37:07.179Z	1000	341
2021-11-22T11:37:27.180Z	1000	355
2021-11-22T11:37:47.186Z	1000	372
2021-11-22T11:38:07.187Z	1000	386
2021-11-22T11:38:27.201Z	1000	400
2021-11-22T11:38:47.202Z	1000	415
2021-11-22T11:39:07.203Z	1000	427
2021-11-22T11:39:27.212Z	1000	442
2021-11-22T11:39:47.214Z	1000	455
2021-11-22T11:40:07.217Z	1000	470
2021-11-22T11:40:27.226Z	1000	481
2021-11-22T11:40:47.235Z	1000	492
2021-11-22T11:41:07.238Z	1000	504
2021-11-22T11:41:27.247Z	1000	515
2021-11-22T11:41:47.249Z	1000	527
2021-11-22T11:42:07.252Z	1000	536
2021-11-22T11:42:27.265Z	1000	548
2021-11-22T11:42:47.269Z	1000	557
2021-11-22T11:43:07.274Z	1000	569
2021-11-22T11:43:27.275Z	1000	578
2021-11-22T11:43:47.279Z	1000	587
