time	1-tT	1-T
2021-12-24T08:35:57.665Z	609	610
2021-12-24T08:36:17.677Z	663	663
2021-12-24T08:36:37.687Z	714	715
2021-12-24T08:36:57.690Z	764	763
2021-12-24T08:37:17.702Z	809	809
2021-12-24T08:37:37.714Z	851	850
2021-12-24T08:37:57.722Z	888	887
2021-12-24T08:38:17.732Z	920	921
2021-12-24T08:38:37.746Z	948	948
2021-12-24T08:38:57.759Z	970	970
2021-12-24T08:39:17.767Z	986	986
2021-12-24T08:39:37.768Z	996	996
2021-12-24T08:39:57.777Z	1000	1000
2021-12-24T08:40:17.782Z	998	998
2021-12-24T08:40:37.787Z	989	989
2021-12-24T08:42:06.195Z	1200	139
2021-12-24T08:42:26.199Z	1200	148
2021-12-24T08:42:46.201Z	1200	155
2021-12-24T08:43:06.201Z	1200	161
2021-12-24T08:43:26.215Z	1200	169
2021-12-24T08:43:46.225Z	1200	175
2021-12-24T08:44:06.231Z	1200	181
2021-12-24T08:44:26.239Z	1200	186
2021-12-24T08:44:46.242Z	1200	192
2021-12-24T08:45:06.249Z	1200	197
2021-12-24T08:45:26.256Z	1200	202
2021-12-24T08:45:46.263Z	1200	207
2021-12-24T08:46:06.269Z	1200	203
2021-12-24T08:46:26.269Z	1200	212
2021-12-24T08:46:46.273Z	1200	220
2021-12-24T08:47:06.273Z	1200	226
2021-12-24T08:47:26.273Z	1200	232
2021-12-24T08:47:46.277Z	1200	238
2021-12-24T08:48:06.292Z	1200	244
2021-12-24T08:48:26.293Z	1200	249
2021-12-24T08:48:46.302Z	1200	255
2021-12-24T08:49:06.305Z	1200	260
2021-12-24T08:49:26.307Z	1200	265
2021-12-24T08:49:46.316Z	1200	270
2021-12-24T08:50:06.322Z	1200	256
2021-12-24T08:50:26.326Z	1200	267
2021-12-24T08:50:46.329Z	1200	274
2021-12-24T08:51:06.339Z	1200	281
2021-12-24T08:51:26.350Z	1200	287
2021-12-24T08:51:46.356Z	1200	293
2021-12-24T08:52:06.367Z	1200	298
2021-12-24T08:52:26.373Z	1200	303
2021-12-24T08:52:46.377Z	1200	307
2021-12-24T08:53:06.382Z	1200	312
2021-12-24T08:53:26.395Z	1200	316
2021-12-24T08:53:46.397Z	1200	319
2021-12-24T08:54:06.412Z	1200	324
2021-12-24T08:54:26.425Z	1200	327
2021-12-24T08:54:46.429Z	1200	315
2021-12-24T08:55:06.435Z	1200	278
2021-12-24T08:55:26.446Z	1200	248
2021-12-24T08:55:46.451Z	1200	232
2021-12-24T08:56:06.459Z	1200	219
2021-12-24T08:56:26.459Z	1200	208
2021-12-24T08:56:46.462Z	1200	200
2021-12-24T08:57:06.462Z	1200	192
2021-12-24T08:57:26.469Z	1200	185
2021-12-24T08:57:46.474Z	1200	177
2021-12-24T08:58:06.478Z	1200	172
2021-12-24T08:58:26.488Z	1200	167
2021-12-24T08:58:46.492Z	1200	165
2021-12-24T08:59:06.496Z	1200	162
2021-12-24T08:59:26.501Z	1200	158
2021-12-24T08:59:46.504Z	1200	154
2021-12-24T09:00:06.514Z	1200	151
2021-12-24T09:00:26.515Z	1200	149
2021-12-24T09:00:46.527Z	1200	147
2021-12-24T09:01:06.535Z	1200	145
2021-12-24T09:01:26.549Z	1200	143
2021-12-24T09:01:46.561Z	1200	141
2021-12-24T09:02:06.568Z	1200	138
2021-12-24T09:02:26.581Z	1200	136
2021-12-24T09:02:46.583Z	1200	135
2021-12-24T09:03:06.587Z	1200	134
2021-12-24T09:03:26.590Z	1200	132
2021-12-24T09:03:46.599Z	1200	131
2021-12-24T09:04:06.601Z	1200	129
