time	1-tT	1-T
2021-11-24T12:35:37.916Z	1000	364
2021-11-24T12:37:06.724Z	1000	429
2021-11-24T12:37:26.728Z	1000	441
2021-11-24T12:37:46.738Z	1000	455
2021-11-24T12:38:06.741Z	1000	467
2021-11-24T12:38:26.749Z	1000	478
2021-11-24T12:38:46.758Z	1000	491
2021-11-24T12:39:06.761Z	1000	502
2021-11-24T12:39:26.761Z	1000	514
2021-11-24T12:39:46.771Z	1000	524
2021-11-24T12:40:06.785Z	1000	536
2021-11-24T12:40:26.785Z	1000	545
2021-11-24T12:40:46.788Z	1000	556
2021-11-24T12:41:06.788Z	1000	565
2021-11-24T12:41:26.791Z	1000	575
2021-11-24T12:41:46.806Z	1000	585
2021-11-24T12:42:06.820Z	1000	594
2021-11-24T12:42:26.828Z	1000	605
2021-11-24T12:42:46.836Z	1000	613
2021-11-24T12:43:06.838Z	1000	624
2021-11-24T12:43:26.842Z	1000	632
2021-11-24T12:43:46.854Z	1000	639
2021-11-24T12:44:06.863Z	1000	649
2021-11-24T12:44:26.878Z	1000	656
2021-11-24T12:44:46.889Z	1000	665
2021-11-24T12:45:06.896Z	1000	673
2021-11-24T12:45:26.901Z	1000	682
2021-11-24T12:45:46.906Z	1000	688
2021-11-24T12:46:06.919Z	1000	698
2021-11-24T12:46:26.925Z	1000	704
2021-11-24T12:46:46.927Z	1000	711
2021-11-24T12:47:06.941Z	1000	718
2021-11-24T12:47:26.952Z	1000	724
2021-11-24T12:47:46.953Z	1000	732
2021-11-24T12:48:06.954Z	1000	738
2021-11-24T12:48:26.955Z	1000	744
2021-11-24T12:48:46.955Z	1000	751
2021-11-24T12:49:06.963Z	1000	757
2021-11-24T12:49:26.970Z	1000	764
2021-11-24T12:49:46.984Z	1000	770
2021-11-24T12:50:06.990Z	1000	777
2021-11-24T12:50:26.998Z	1000	782
2021-11-24T12:50:47.007Z	1000	788
2021-11-24T12:51:07.008Z	1000	795
2021-11-24T12:51:27.010Z	1000	800
2021-11-24T12:51:47.021Z	1000	806
2021-11-24T12:52:07.024Z	1000	811
2021-11-24T12:52:27.028Z	1000	818
2021-11-24T12:52:47.038Z	1000	823
2021-11-24T12:53:07.039Z	1000	829
2021-11-24T12:53:27.039Z	1000	834
2021-11-24T12:53:47.043Z	1000	839
2021-11-24T12:54:07.043Z	1000	845
2021-11-24T12:54:27.051Z	1000	850
2021-11-24T12:54:47.060Z	1000	856
2021-11-24T12:55:07.069Z	1000	861
2021-11-24T12:55:27.074Z	1000	866
2021-11-24T12:55:47.084Z	1000	871
2021-11-24T12:56:07.093Z	1000	875
2021-11-24T12:56:27.097Z	1000	879
2021-11-24T12:56:47.100Z	1000	881
2021-11-24T12:57:07.109Z	1000	884
2021-11-24T12:57:27.120Z	1000	886
2021-11-24T12:57:47.133Z	1000	888
2021-11-24T12:58:07.135Z	1000	889
2021-11-24T12:58:27.135Z	1000	889
2021-11-24T12:58:47.149Z	1000	890
2021-11-24T12:59:07.158Z	1000	890
2021-11-24T12:59:27.159Z	1000	891
2021-11-24T12:59:47.159Z	1000	891
2021-11-24T13:00:07.162Z	1000	891
2021-11-24T13:00:27.172Z	1000	891
2021-11-24T13:00:47.180Z	1000	891
2021-11-24T13:01:07.191Z	1000	892
2021-11-24T13:01:27.197Z	1000	892
2021-11-24T13:01:47.198Z	1000	892
2021-11-24T13:02:07.209Z	1000	893
2021-11-24T13:02:27.215Z	1000	893
2021-11-24T13:02:47.227Z	1000	893
2021-11-24T13:03:07.237Z	1000	894
2021-11-24T13:03:27.238Z	1000	894
2021-11-24T13:03:47.240Z	1000	895
2021-11-24T13:04:07.247Z	1000	896
2021-11-24T13:04:27.262Z	1000	897
2021-11-24T13:04:47.277Z	1000	898
2021-11-24T13:05:07.292Z	1000	899
2021-11-24T13:05:27.292Z	1000	900
2021-11-24T13:05:47.302Z	1000	901
2021-11-24T13:06:07.307Z	1000	902
2021-11-24T13:06:27.309Z	1000	903
2021-11-24T13:06:47.323Z	1000	903
2021-11-24T13:07:07.334Z	1000	903
2021-11-24T13:07:27.336Z	1000	903
2021-11-24T13:07:47.350Z	1000	903
2021-11-24T13:08:07.350Z	1000	903
2021-11-24T13:08:27.356Z	1000	902
2021-11-24T13:08:47.363Z	1000	902
2021-11-24T13:09:07.374Z	1000	902
2021-11-24T13:09:27.383Z	1000	901
2021-11-24T13:09:47.388Z	1000	823
2021-11-24T13:10:07.389Z	1000	829
2021-11-24T13:10:27.389Z	1000	846
2021-11-24T13:10:47.390Z	1000	851
2021-11-24T13:11:07.404Z	1000	856
2021-11-24T13:11:27.409Z	1000	860
2021-11-24T13:11:47.424Z	1000	865
2021-11-24T13:12:07.431Z	1000	870
2021-11-24T13:12:27.439Z	1000	875
2021-11-24T13:12:47.453Z	1000	881
2021-11-24T13:13:07.468Z	1000	888
2021-11-24T13:13:27.477Z	1000	894
2021-11-24T13:13:47.486Z	1000	899
2021-11-24T13:14:07.495Z	1000	904
2021-11-24T13:14:27.507Z	1000	907
2021-11-24T13:14:47.521Z	1000	909
2021-11-24T13:15:07.525Z	1000	910
2021-11-24T13:15:27.532Z	1000	910
2021-11-24T13:15:47.543Z	1000	909
2021-11-24T13:16:07.546Z	1000	908
2021-11-24T13:16:27.548Z	1000	906
2021-11-24T13:16:47.563Z	1000	904
2021-11-24T13:17:07.577Z	1000	902
2021-11-24T13:17:27.588Z	1000	900
2021-11-24T13:17:47.595Z	1000	899
2021-11-24T13:18:07.603Z	1000	897
2021-11-24T13:18:27.613Z	1000	896
2021-11-24T13:18:47.621Z	1000	896
2021-11-24T13:19:07.630Z	1000	895
2021-11-24T13:19:27.635Z	1000	896
2021-11-24T13:19:47.649Z	1000	896
2021-11-24T13:20:07.656Z	1000	897
2021-11-24T13:20:27.661Z	1000	899
2021-11-24T13:20:47.665Z	1000	899
2021-11-24T13:21:07.668Z	1000	900
2021-11-24T13:21:27.683Z	1000	901
2021-11-24T13:21:47.696Z	1000	902
2021-11-24T13:22:07.701Z	1000	902
2021-11-24T13:22:27.703Z	1000	902
2021-11-24T13:22:47.715Z	1000	901
2021-11-24T13:23:07.725Z	1000	901
2021-11-24T13:23:27.728Z	1000	901
2021-11-24T13:23:47.743Z	1000	901
2021-11-24T13:24:07.745Z	1000	900
2021-11-24T13:24:27.746Z	1000	900
2021-11-24T13:24:47.748Z	1000	900
2021-11-24T13:25:07.762Z	1000	899
2021-11-24T13:25:27.773Z	1000	899
2021-11-24T13:25:47.783Z	1000	898
2021-11-24T13:26:07.788Z	1000	898
2021-11-24T13:26:27.792Z	1000	898
2021-11-24T13:26:47.796Z	1000	898
2021-11-24T13:27:07.807Z	1000	898
2021-11-24T13:27:27.821Z	1000	898
2021-11-24T13:27:47.823Z	1000	899
2021-11-24T13:28:07.823Z	1000	900
2021-11-24T13:28:27.832Z	1000	899
2021-11-24T13:28:47.836Z	1000	900
