time	1-tT	1-T
2021-12-23T14:35:15.908Z	610	611
2021-12-23T14:35:35.910Z	663	664
2021-12-23T14:35:55.915Z	714	715
2021-12-23T14:47:47.867Z	1200	15
2021-12-23T14:48:07.874Z	1200	15
2021-12-23T14:48:27.878Z	1200	14
2021-12-23T14:48:47.894Z	1200	14
2021-12-23T14:51:26.584Z	-5	-5
2021-12-23T14:51:46.593Z	-5	-5
2021-12-23T14:52:06.597Z	-5	-5
2021-12-23T14:52:26.601Z	-5	-5
2021-12-23T14:52:46.607Z	-5	-5
2021-12-23T14:53:06.622Z	-5	-5
2021-12-23T14:53:26.627Z	-5	-5
2021-12-23T14:53:46.633Z	-5	-5
2021-12-23T14:54:06.648Z	-5	-5
2021-12-23T14:54:26.660Z	-5	-5
2021-12-23T14:54:46.664Z	-5	-5
2021-12-23T14:55:06.671Z	-5	-5
2021-12-23T14:55:26.681Z	-5	-5
2021-12-23T14:55:46.681Z	-5	-5
2021-12-23T14:56:06.691Z	-5	-5
2021-12-23T14:56:26.692Z	-5	-5
2021-12-23T14:56:46.693Z	-5	-5
2021-12-23T14:57:06.698Z	-5	-5
2021-12-23T14:57:26.711Z	-5	-5
2021-12-23T14:57:46.725Z	-5	-5
2021-12-23T14:58:06.727Z	-5	-5
2021-12-23T14:58:26.729Z	-5	-5
2021-12-23T14:58:46.736Z	-5	-5
2021-12-23T14:59:06.746Z	-5	-5
2021-12-23T14:59:26.746Z	-5	-5
2021-12-23T14:59:46.752Z	-5	-5
2021-12-23T15:00:06.763Z	-5	-5
2021-12-23T15:00:26.765Z	-5	-5
2021-12-23T15:00:46.767Z	-5	-5
2021-12-23T15:01:06.771Z	-5	-5
2021-12-23T15:01:26.776Z	-5	-5
2021-12-23T15:01:46.784Z	-5	-5
2021-12-23T15:02:06.799Z	-5	-5
2021-12-23T15:02:26.808Z	-5	-5
2021-12-23T15:02:46.823Z	-5	-5
2021-12-23T15:03:06.827Z	-5	-5
2021-12-23T15:03:26.839Z	-5	-5
2021-12-23T15:03:46.849Z	-5	-5
2021-12-23T15:04:06.864Z	-5	-5
2021-12-23T15:04:26.878Z	-5	-5
2021-12-23T15:04:46.877Z	-5	-5
2021-12-23T15:05:06.880Z	-5	-5
2021-12-23T15:05:26.883Z	-5	-5
2021-12-23T15:05:46.896Z	-5	-5
2021-12-23T15:06:06.897Z	-5	-5
2021-12-23T15:06:26.903Z	-5	-5
2021-12-23T15:06:46.906Z	-5	-5
2021-12-23T15:07:06.913Z	-5	-5
2021-12-23T15:07:26.920Z	-5	-5
2021-12-23T15:07:46.931Z	-5	-5
2021-12-23T15:08:06.942Z	-5	-5
2021-12-23T15:08:26.957Z	-5	-5
2021-12-23T15:08:46.969Z	-5	-5
2021-12-23T15:09:06.979Z	-5	-5
2021-12-23T15:09:26.987Z	-5	-5
2021-12-23T15:09:46.988Z	-5	-5
2021-12-23T15:10:06.997Z	-5	-5
2021-12-23T15:10:27.012Z	-5	-5
2021-12-23T15:10:47.024Z	-5	-5
2021-12-23T15:11:07.025Z	-5	-5
2021-12-23T15:11:27.037Z	-5	-5
2021-12-23T15:11:47.051Z	-5	-5
2021-12-23T15:12:07.051Z	-5	-5
2021-12-23T15:12:27.054Z	-5	-5
2021-12-23T15:12:47.055Z	-5	-5
2021-12-23T15:13:07.066Z	-5	-5
2021-12-23T15:13:27.074Z	-5	-5
2021-12-23T15:13:47.083Z	-5	-5
2021-12-23T15:14:07.083Z	-5	-5
2021-12-23T15:14:27.095Z	-5	-5
2021-12-23T15:14:47.106Z	-5	-5
2021-12-23T15:15:07.107Z	-5	-5
2021-12-23T15:15:27.115Z	-5	-5
2021-12-23T15:15:47.127Z	-5	-5
2021-12-23T15:16:07.139Z	-5	-5
2021-12-23T15:16:27.147Z	-5	-5
2021-12-23T15:16:47.161Z	-5	-5
2021-12-23T15:17:07.163Z	-5	-5
2021-12-23T15:17:27.178Z	-5	-5
2021-12-23T15:17:47.190Z	-5	-5
2021-12-23T15:18:07.202Z	-5	-5
2021-12-23T15:18:27.203Z	-5	-5
2021-12-23T15:18:47.209Z	-5	-5
2021-12-23T15:19:07.212Z	-5	-5
2021-12-23T15:19:27.221Z	-5	-5
2021-12-23T15:19:47.226Z	-5	-5
2021-12-23T15:20:07.230Z	-5	-5
2021-12-23T15:20:27.238Z	-5	-5
2021-12-23T15:20:47.248Z	-5	-5
2021-12-23T15:21:07.248Z	-5	-5
2021-12-23T15:21:27.259Z	-5	-5
2021-12-23T15:21:47.272Z	-5	-5
2021-12-23T17:43:47.734Z	-5	-5
