time	1-tT	1-T
2021-11-29T10:05:17.000Z	610	609
2021-11-29T10:06:15.153Z	610	609
2021-11-29T10:08:40.864Z	1000	68
2021-11-29T10:09:00.869Z	1000	68
2021-11-29T10:09:20.879Z	1000	67
2021-11-29T10:09:40.891Z	1000	67
2021-11-29T10:10:00.894Z	1000	66
2021-11-29T10:10:20.896Z	1000	66
2021-11-29T10:10:40.909Z	1000	65
2021-11-29T10:11:00.922Z	1000	65
2021-11-29T10:11:20.935Z	1000	65
2021-11-29T10:11:40.941Z	1000	66
2021-11-29T10:12:00.953Z	1000	68
2021-11-29T10:13:40.992Z	1000	72
2021-11-29T10:14:00.992Z	1000	72
2021-11-29T10:14:20.993Z	1000	72
2021-11-29T10:14:41.004Z	1000	72
2021-11-29T10:15:01.004Z	1000	72
2021-11-29T10:16:41.025Z	1000	73
2021-11-29T10:17:01.039Z	1000	77
2021-11-29T10:17:21.053Z	1000	79
2021-11-29T10:17:41.053Z	1000	82
2021-11-29T10:18:01.062Z	1000	83
2021-11-29T10:18:21.062Z	1000	84
2021-11-29T10:18:41.073Z	1000	85
2021-11-29T10:19:01.079Z	1000	86
2021-11-29T10:19:21.079Z	1000	86
2021-11-29T10:19:41.087Z	1000	86
2021-11-29T10:20:01.095Z	1000	86
2021-11-29T10:20:21.107Z	1000	86
2021-11-29T10:20:41.111Z	1000	86
2021-11-29T10:21:01.113Z	1000	86
2021-11-29T10:21:21.115Z	1000	86
2021-11-29T10:21:41.121Z	1000	85
2021-11-29T10:22:01.131Z	1000	85
2021-11-29T10:22:21.142Z	1000	84
2021-11-29T10:22:41.143Z	1000	84
2021-11-29T10:23:01.147Z	1000	83
2021-11-29T10:23:21.147Z	1000	82
2021-11-29T10:23:41.147Z	1000	82
2021-11-29T10:24:01.156Z	1000	81
2021-11-29T10:24:21.160Z	1000	81
2021-11-29T10:24:41.168Z	1000	80
2021-11-29T10:25:01.174Z	1000	79
2021-11-29T10:25:21.180Z	1000	78
2021-11-29T10:25:41.194Z	1000	80
2021-11-29T10:26:01.202Z	1000	85
2021-11-29T10:26:21.202Z	1000	90
2021-11-29T10:26:41.205Z	1000	95
2021-11-29T10:27:01.211Z	1000	98
2021-11-29T10:27:21.215Z	1000	100
2021-11-29T10:27:41.222Z	1000	102
2021-11-29T10:28:01.224Z	1000	103
2021-11-29T10:28:21.229Z	1000	104
2021-11-29T10:28:41.237Z	1000	104
2021-11-29T10:29:01.241Z	1000	104
2021-11-29T10:29:21.257Z	1000	104
2021-11-29T10:29:41.262Z	1000	104
2021-11-29T10:30:01.274Z	1000	104
2021-11-29T10:30:21.287Z	1000	103
2021-11-29T10:30:41.293Z	1000	103
2021-11-29T10:31:01.303Z	1000	102
2021-11-29T10:31:21.313Z	1000	101
2021-11-29T10:31:41.319Z	1000	101
2021-11-29T10:32:01.332Z	1000	100
2021-11-29T10:32:21.349Z	1000	99
2021-11-29T10:32:41.360Z	1000	99
2021-11-29T10:33:01.372Z	1000	98
2021-11-29T10:33:21.379Z	1000	97
2021-11-29T10:33:41.393Z	1000	96
2021-11-29T10:34:01.400Z	1000	96
2021-11-29T10:34:21.410Z	1000	95
2021-11-29T10:34:41.423Z	1000	94
2021-11-29T10:35:01.427Z	1000	93
2021-11-29T10:35:21.436Z	1000	93
2021-11-29T10:35:41.441Z	1000	92
2021-11-29T10:36:01.454Z	1000	91
2021-11-29T10:36:21.456Z	1000	91
2021-11-29T10:36:41.456Z	1000	90
2021-11-29T10:37:01.464Z	1000	89
2021-11-29T10:37:21.477Z	1000	89
2021-11-29T10:37:41.478Z	1000	91
2021-11-29T10:38:01.478Z	1000	97
2021-11-29T10:38:21.489Z	1000	104
2021-11-29T10:38:41.492Z	1000	110
2021-11-29T10:39:01.498Z	1000	114
2021-11-29T10:39:21.504Z	1000	117
2021-11-29T10:39:41.520Z	1000	119
2021-11-29T10:40:01.535Z	1000	120
2021-11-29T10:40:21.544Z	1000	121
2021-11-29T10:40:41.546Z	1000	122
2021-11-29T10:41:01.551Z	1000	122
2021-11-29T10:41:21.552Z	1000	122
2021-11-29T10:41:41.556Z	1000	122
2021-11-29T10:42:01.566Z	1000	121
2021-11-29T10:42:21.566Z	1000	121
2021-11-29T10:42:41.567Z	1000	120
2021-11-29T10:43:01.570Z	1000	119
2021-11-29T10:43:21.586Z	1000	119
2021-11-29T10:43:41.590Z	1000	118
2021-11-29T10:44:01.593Z	1000	117
2021-11-29T10:44:21.599Z	1000	116
2021-11-29T10:44:41.613Z	1000	115
2021-11-29T10:45:01.619Z	1000	114
2021-11-29T10:45:21.631Z	1000	113
2021-11-29T10:45:41.639Z	1000	112
2021-11-29T10:46:01.645Z	1000	111
2021-11-29T10:46:21.658Z	1000	111
2021-11-29T10:46:41.663Z	1000	110
2021-11-29T10:47:01.670Z	1000	109
2021-11-29T10:47:21.671Z	1000	108
2021-11-29T10:47:41.676Z	1000	107
2021-11-29T10:48:01.676Z	1000	106
2021-11-29T10:48:21.687Z	1000	105
2021-11-29T10:48:41.693Z	1000	105
2021-11-29T10:49:01.694Z	1000	104
2021-11-29T10:49:21.695Z	1000	103
2021-11-29T10:49:41.704Z	1000	102
2021-11-29T10:50:01.714Z	1000	101
2021-11-29T10:50:21.723Z	1000	101
2021-11-29T10:50:41.728Z	1000	101
2021-11-29T10:51:01.735Z	1000	103
2021-11-29T10:51:21.740Z	1000	110
2021-11-29T10:51:41.741Z	1000	117
2021-11-29T10:52:01.752Z	1000	123
2021-11-29T10:52:21.758Z	1000	126
2021-11-29T10:52:41.774Z	1000	129
2021-11-29T10:53:01.778Z	1000	131
2021-11-29T10:53:21.793Z	1000	132
2021-11-29T10:53:41.807Z	1000	132
2021-11-29T10:54:01.818Z	1000	132
2021-11-29T10:54:21.825Z	1000	132
2021-11-29T10:54:41.839Z	1000	132
2021-11-29T10:55:01.839Z	1000	132
2021-11-29T10:55:21.851Z	1000	131
2021-11-29T10:55:41.863Z	1000	131
2021-11-29T10:56:01.877Z	1000	130
2021-11-29T10:56:21.880Z	1000	129
2021-11-29T10:56:41.881Z	1000	128
2021-11-29T10:57:01.895Z	1000	127
2021-11-29T10:57:21.899Z	1000	126
2021-11-29T10:57:41.913Z	1000	126
2021-11-29T10:58:01.915Z	1000	125
2021-11-29T10:58:21.916Z	1000	124
2021-11-29T10:58:41.919Z	1000	123
2021-11-29T10:59:01.929Z	1000	122
2021-11-29T10:59:21.945Z	1000	121
2021-11-29T10:59:41.960Z	1000	120
2021-11-29T11:00:01.968Z	1000	119
2021-11-29T11:00:21.981Z	1000	118
2021-11-29T11:00:41.982Z	1000	117
2021-11-29T11:01:01.992Z	1000	116
2021-11-29T11:01:22.002Z	1000	115
